2018-08-20,19
2018-08-21,306
2018-08-22,154
2018-08-23,146
2018-08-24,161
2018-08-25,1
2018-08-26,19
2018-08-27,208
2018-08-28,133
2018-08-29,148
2018-08-30,136
2018-08-31,118
2018-09-01,3
2018-09-02,18
2018-09-03,305
2018-09-04,268
2018-09-05,265
2018-09-06,243
2018-09-07,367
2018-09-08,41
2018-09-09,44
2018-09-10,412
2018-09-11,278
2018-09-12,241
2018-09-13,201
2018-09-14,214
2018-09-15,11
2018-09-16,11
2018-09-17,298
2018-09-18,203
2018-09-19,239
2018-09-20,159
2018-09-21,148
2018-09-22,4
2018-09-23,11
2018-09-24,222
2018-09-25,216
2018-09-26,132
2018-09-27,201
2018-09-28,150
2018-09-29,10
2018-09-30,39
2018-10-01,416
2018-10-02,200
2018-10-03,250
2018-10-04,305
2018-10-05,353
2018-10-06,17
2018-10-07,38
2018-10-08,413
2018-10-09,291
2018-10-10,358
2018-10-11,363
2018-10-12,373
2018-10-13,54
2018-10-14,43
2018-10-15,216
2018-10-16,175
2018-10-17,205
2018-10-18,330
2018-10-19,252
2018-10-20,31
2018-10-21,9
2018-10-22,29
2018-10-23,37
2018-10-24,375
2018-10-25,235
2018-10-26,251
2018-10-27,10
2018-10-28,24
2018-10-29,258
2018-10-30,240
2018-10-31,247
2018-11-01,18
2018-11-02,18
2018-11-03,24
2018-11-04,49
2018-11-05,444
2018-11-06,440
2018-11-07,402
2018-11-08,434
2018-11-09,504
2018-11-10,179
2018-11-11,41
2018-11-12,633
2018-11-13,307
2018-11-14,212
2018-11-15,235
2018-11-16,232
2018-11-17,14
2018-11-18,49
2018-11-19,392
2018-11-20,300
2018-11-21,202
2018-11-22,197
2018-11-23,254
2018-11-24,15
2018-11-25,21
2018-11-26,337
2018-11-27,152
2018-11-28,250
2018-11-29,203
2018-11-30,277
2018-12-01,102
2018-12-02,40
2018-12-03,361
2018-12-04,380
2018-12-05,369
2018-12-06,436
2018-12-07,427
2018-12-08,42
2018-12-09,86
2018-12-10,575
2018-12-11,562
2018-12-12,495
2018-12-13,305
2018-12-14,300
2018-12-15,97
2018-12-16,46
2018-12-17,404
2018-12-18,370
2018-12-19,304
2018-12-20,551
2018-12-21,351
2018-12-22,88
2018-12-23,19
2018-12-24,11
2018-12-25,23
2018-12-26,13
2018-12-27,250
2018-12-28,239
2018-12-29,29
2018-12-30,10
2018-12-31,27
2019-01-01,52
2019-01-02,279
2019-01-03,380
2019-01-04,372
2019-01-05,20
2019-01-06,26
2019-01-07,549
2019-01-08,398
2019-01-09,373
2019-01-10,596
2019-01-11,459
2019-01-12,30
2019-01-13,67
2019-01-14,661
2019-01-15,258
2019-01-16,287
2019-01-17,233
2019-01-18,254
2019-01-19,59
2019-01-20,66
2019-01-21,399
2019-01-22,250
2019-01-23,221
2019-01-24,238
2019-01-25,188
2019-01-26,21
2019-01-27,26
2019-01-28,281
2019-01-29,159
2019-01-30,243
2019-01-31,243
2019-02-01,235
2019-02-02,31
2019-02-03,52
2019-02-04,451
2019-02-05,562
2019-02-06,382
2019-02-07,643
2019-02-08,557
2019-02-09,41
2019-02-10,128
2019-02-11,612
2019-02-12,600
2019-02-13,304
2019-02-14,295
2019-02-15,313
2019-02-16,27
2019-02-17,33
2019-02-18,332
2019-02-19,277
2019-02-20,313
2019-02-21,285
2019-02-22,269
2019-02-23,18
2019-02-24,42
2019-02-25,417
2019-02-26,235
2019-02-27,300
2019-02-28,251
2019-03-01,375
2019-03-02,26
2019-03-03,52
2019-03-04,493
2019-03-05,624
2019-03-06,361
2019-03-07,640
2019-03-08,777
2019-03-09,58
2019-03-10,120
2019-03-11,540
2019-03-12,782
2019-03-13,372
2019-03-14,407
2019-03-15,10
2019-03-16,48
2019-03-17,45
2019-03-18,460
2019-03-19,357
2019-03-20,372
2019-03-21,328
2019-03-22,257
2019-03-23,40
2019-03-24,30
2019-03-25,367
2019-03-26,270
2019-03-27,294
2019-03-28,209
2019-03-29,302
2019-03-30,20
2019-03-31,46
2019-04-01,518
2019-04-02,361
2019-04-03,477
2019-04-04,547
2019-04-05,539
2019-04-06,49
2019-04-07,102
2019-04-08,801
2019-04-09,547
2019-04-10,687
2019-04-11,492
2019-04-12,545
2019-04-13,19
2019-04-14,50
2019-04-15,496
2019-04-16,378
2019-04-17,307
2019-04-18,232
2019-04-19,15
2019-04-20,29
2019-04-21,11
2019-04-22,29
2019-04-23,659
2019-04-24,329
2019-04-25,401
2019-04-26,338
2019-04-27,24
2019-04-28,19
2019-04-29,382
2019-04-30,408
2019-05-01,47
2019-05-02,589
2019-05-03,487
2019-05-04,21
2019-05-05,81
2019-05-06,649
2019-05-07,595
2019-05-08,519
2019-05-09,658
2019-05-10,792
2019-05-11,53
2019-05-12,61
2019-05-13,773
2019-05-14,382
2019-05-15,338
2019-05-16,387
2019-05-17,350
2019-05-18,15
2019-05-19,56
2019-05-20,484
2019-05-21,340
2019-05-22,222
2019-05-23,281
2019-05-24,228
2019-05-25,23
2019-05-26,36
2019-05-27,436
2019-05-28,320
2019-05-29,446
2019-05-30,289
2019-05-31,322
2019-06-01,14
2019-06-02,27
2019-06-03,583
2019-06-04,677
2019-06-05,664
2019-06-06,738
2019-06-07,901
2019-06-08,11
2019-06-09,14
2019-06-10,102
2019-06-11,728
2019-06-12,655
2019-06-13,673
2019-06-14,458
2019-06-15,24
2019-06-16,62
2019-06-17,486
2019-06-18,313
2019-06-19,325
2019-06-20,409
2019-06-21,312
2019-06-22,15
2019-06-23,31
2019-06-24,481
2019-06-25,301
2019-06-26,284
2019-06-27,379
2019-06-28,332
2019-06-29,11
2019-06-30,55
2019-07-01,620
2019-07-02,346
2019-07-03,780
2019-07-04,546
2019-07-05,609
2019-07-06,51
2019-07-07,63
2019-07-08,663
2019-07-09,910
2019-07-10,858
2019-07-11,659
2019-07-12,667
2019-07-13,32
2019-07-14,48
2019-07-15,410
2019-07-16,405
2019-07-17,289
2019-07-18,504
2019-07-19,328
2019-07-20,32
2019-07-21,59
2019-07-22,616
2019-07-23,360
2019-07-24,301
2019-07-25,270
2019-07-26,290
2019-07-27,12
2019-07-28,43
2019-07-29,429
2019-07-30,404
2019-07-31,328
2019-08-01,459
2019-08-02,506
2019-08-03,44
2019-08-04,120
2019-08-05,789
2019-08-06,861
2019-08-07,509
2019-08-08,674
2019-08-09,1092
2019-08-10,128
2019-08-11,86
2019-08-12,789
2019-08-13,344
2019-08-14,465
2019-08-15,479
2019-08-16,323
2019-08-17,29
2019-08-18,23
2019-08-19,41
2019-08-20,43
2019-08-21,543
2019-08-22,392
2019-08-23,320
2019-08-24,23
2019-08-25,55
2019-08-26,416
2019-08-27,489
2019-08-28,279
2019-08-29,373
2019-08-30,294
2019-08-31,18
2019-09-01,60
2019-09-02,651
2019-09-03,601
2019-09-04,640
2019-09-05,781
2019-09-06,554
2019-09-07,56
2019-09-08,44
2019-09-09,1139
2019-09-10,909
2019-09-11,636
2019-09-12,595
2019-09-13,437
2019-09-16,388
2019-09-17,466
2019-09-18,367
